Region/Country/Area,,Year,Series,Value
28,Antigua and Barbuda,2017,Population aged 0 to 14 years old (percentage),22.2319
28,Antigua and Barbuda,2017,Population aged 60+ years old (percentage),12.7712
28,Antigua and Barbuda,2017,Population density,216.8773
28,Antigua and Barbuda,2017,Surface area (thousand km2),0.442
28,Antigua and Barbuda,2019,Population mid-year estimates (millions),0.0971
28,Antigua and Barbuda,2019,Population mid-year estimates for males (millions),0.0469
28,Antigua and Barbuda,2019,Population mid-year estimates for females (millions),0.0503
28,Antigua and Barbuda,2019,Sex ratio (males per 100 females),93.2099
28,Antigua and Barbuda,2019,Population aged 0 to 14 years old (percentage),21.9547
28,Antigua and Barbuda,2019,Population aged 60+ years old (percentage),13.6164
28,Antigua and Barbuda,2019,Population density,220.7227
32,Argentina,2005,Population mid-year estimates (millions),38.8929
32,Argentina,2005,Population mid-year estimates for males (millions),18.8974
32,Argentina,2005,Population mid-year estimates for females (millions),19.9956
32,Argentina,2005,Sex ratio (males per 100 females),94.5078
32,Argentina,2005,Population aged 0 to 14 years old (percentage),27.28
32,Argentina,2005,Population aged 60+ years old (percentage),13.5952
32,Argentina,2005,Population density,14.2117
32,Argentina,2010,Population mid-year estimates (millions),40.8958
32,Argentina,2010,Population mid-year estimates for males (millions),19.8988
32,Argentina,2010,Population mid-year estimates for females (millions),20.997
32,Argentina,2010,Sex ratio (males per 100 females),94.7695
32,Argentina,2010,Population aged 0 to 14 years old (percentage),26.036
32,Argentina,2010,Population aged 60+ years old (percentage),14.2133
32,Argentina,2010,Population density,14.9435
32,Argentina,2017,Population mid-year estimates (millions),43.9371
32,Argentina,2017,Population mid-year estimates for males (millions),21.4198
32,Argentina,2017,Population mid-year estimates for females (millions),22.5173
32,Argentina,2017,Sex ratio (males per 100 females),95.1258
32,Argentina,2017,Population aged 0 to 14 years old (percentage),24.9268
32,Argentina,2017,Population aged 60+ years old (percentage),15.1301
32,Argentina,2017,Population density,16.0548
32,Argentina,2017,Surface area (thousand km2),2780.4
32,Argentina,2019,Population mid-year estimates (millions),44.7807
32,Argentina,2019,Population mid-year estimates for males (millions),21.8414
32,Argentina,2019,Population mid-year estimates for females (millions),22.9393
32,Argentina,2019,Sex ratio (males per 100 females),95.2141
32,Argentina,2019,Population aged 0 to 14 years old (percentage),24.5955
32,Argentina,2019,Population aged 60+ years old (percentage),15.3941
32,Argentina,2019,Population density,16.3631
51,Armenia,2005,Population mid-year estimates (millions),2.9813
51,Armenia,2005,Population mid-year estimates for males (millions),1.4019
51,Armenia,2005,Population mid-year estimates for females (millions),1.5794
51,Armenia,2005,Sex ratio (males per 100 females),88.7601
51,Armenia,2005,Population aged 0 to 14 years old (percentage),21.4615
51,Armenia,2005,Population aged 60+ years old (percentage),14.3771
51,Armenia,2005,Population density,104.7162
51,Armenia,2010,Population mid-year estimates (millions),2.8773
51,Armenia,2010,Population mid-year estimates for males (millions),1.3464
51,Armenia,2010,Population mid-year estimates for females (millions),1.531
